titulo,especificacoes,categoria,caracteristicas,vantagens,sobre o produto,imagem,link
Joelho 90°,CCB: 14817 | Embalagem: 10 | Bitola: DN 40 | CCB: 14818 | Embalagem: 10 | Bitola: DN 50 | CCB: 14819 | Embalagem: 15 | Bitola: DN 75 | CCB: 14820 | Embalagem: 8 | Bitola: DN 100 | CCB: 14821 | Embalagem: 1 | Bitola: DN 150 | ,produtos|predial|esgoto|amanco-silentium|joelho-90-5e788dd9-e484-4333-a1a6-82f5379443f4,"O Amanco Silentium é totalmente compatível com os sistemas Amanco Série Normal (SN) e Série Reforçada (SR),Seus diâmetros externos são idênticos,Estão disponiveis nas bitolas comerciais do DN 40 a DN150.","Maior resistência mecânica devido ao aumento de espessura de parede em relação aos tubos da Série Reforçada (SR),Resistência ao impacto muito superior aos tubos da Série Normal (SN) e da Série Reforçada (SR),Facilidade de encaixe e rapidez na execução da junta,Dupla segurança em relação a estanqueidade,Tecnologia em PVC Mineralizado auto extinguível,Alta resistência a detergentes, desinfetantes e produtos de limpeza em geral.","O sistema Amanco Silentium é a primeira solução em PVC para reduzir o problema de ruídos nas instalações hidráulicas, com um sistema de qualidade e performance comprovadas, que permite aos profissionais, instaladores e construtores, cumprir os requisitos desejáveis quanto aos ruídos acrescentando um valor agregado indispensável: o conforto do silêncio.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/3066/medium_JOELHO-90-14817-14818-14819-14820-14821-WEB.jpg,http://amanco.com.br/produtos/predial/esgoto/amanco-silentium/joelho-90-5e788dd9-e484-4333-a1a6-82f5379443f4
Válvula de Retenção,CCB: 98934 | Bitola: 25 MM | Embalagem: 6 | CCB: 98935 | Bitola: 32 MM | Embalagem: 4 | ,produtos|predial|agua-fria|amanco-soldavel|valvula-de-retencao-cca40a0c-b600-408a-869d-376af0457917,"Atende norma NBR 5648,Disponível nos diâmetros de 25 e 32 mm,suporta pressão de serviço de até 750 kPa, (7,5 kgf/cm² ou 75 m.c.a.).","Rapidez na execução das juntas soldáveis,Solda com Adesivo Plástico ou Adesivo Plástico Extra Forte.","A linha Amanco Soldável é um sistema em PVC para condução de água fria com portfólio completo para atender todos os projetos, utilizada em obras residenciais, comerciais e industriais. Aplicada em instalações de água fria permanentes e embutidas.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/3358/medium_VALVULA-DE-RETENCAO-SOLDAVEL-CCB-98934-98935-WEB.jpg,http://amanco.com.br/produtos/predial/agua-fria/amanco-soldavel/valvula-de-retencao-cca40a0c-b600-408a-869d-376af0457917
Módulo de Distribuição Fechado,CCB: 98243 | Embalagem: 5 | Bitola: DN 22 x DN 15 2 saídas | CCB: 98244 | Embalagem: 5 | Bitola: DN 22 x DN 15 3 saídas | ,produtos|predial|agua-quente|amanco-flextemp|modulo-de-distribuicao-fechado,"Tubos em polibutileno e conexões por Push-Fit que garantem praticidade e rapidez na instalação de sistemas de condução de água quente e fria,Manutenção fácil e sem perda de tubos e conexões,Diâmetros e metragens de bobina: DN 15 com bobina de 100 m, DN 22 e DN 28 com bobina de 50 m,Atende a uma pressão de serviço 80 m.c.a,Temperatura máxima de trabalho: 70° C.","Economia,Qualidade Comprovada,Flexibilidade dos Tubos,Durabilidade,Segurança das Juntas.","A linha Amanco Flextemp é um sistema de tubulação flexivel com tecnologia inovadora desenvolvida para instalações prediais de água quente e fria sob pressão. A linha pode ser utilizada em instalações comerciais e residencias, com sistema de engate rápido tipo Push fit (click), o que garante a produtividade da instalação.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2872/medium_MODULO-DE-DISTRIBUICAO-FECHADO-98243-98244-WEB.jpg,http://amanco.com.br/produtos/predial/agua-quente/amanco-flextemp/modulo-de-distribuicao-fechado
Válvula de Retenção,"CCB: 98937 | Bitola: 1"" | Embalagem: 6 | CCB: 98936 | Bitola: 3/4"" | Embalagem: 6 | ",produtos|predial|agua-fria|amanco-roscavel|valvula-de-retencao-643c6377-ccb9-4e5c-82b1-c92f42e81b9e,"Fabricado na cor cinza escuro,Disponível nos diâmetros de ¾"" e 1"",Suporta pressão de serviço de até 750 kPa (7,5 kgf/cm² ou 75 m.c.a.), à temperatura de 20°C","Facilidade no desmontar ou remanejar a instalação, em casos de redes provisórias","A Linha Amanco Roscável pode ser utilizada em todos os tipos e padrões de obra residencial, comercial e industrial. Aplicado em instalações de água fria, instalações provisórias ou em locais que necessitem ser desmontados com frequência. Possui espessuras de paredes maiores que seus equivalentes da Linha Amanco Soldável, justamente para a confecção da abertura da rosca.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/3306/medium_VALVULA-DE-RETENCAO-CCB-98936-LR.jpg,http://amanco.com.br/produtos/predial/agua-fria/amanco-roscavel/valvula-de-retencao-643c6377-ccb9-4e5c-82b1-c92f42e81b9e
Módulo de Distribuição Fechado,SCB: 99772 | Embalagem: 2 | Bitola: 3/4x16 2S | SCB: 99773 | Embalagem: 2 | Bitola: 3/4x16 3S | ,produtos|predial|agua-quente|amanco-pex|modulo-de-distribuicao-fechado-ed3a66ca-eb22-4341-beed-c5c4c6c1b8e5,"Tubos nos diâmetros de DN 16, 20, 25 e 32 mm,Bobinas de 50 m (para 25 e 32 mm) e 100 m (para 16 e 20 mm),Conexões com roscas NBR NM ISO 7-1","Tubulação maleável: Os tubos Amanco PEX permitem que sejam feitas curvas, diminuindo a quantidade de conexões,Facilidade de instalação, pois permite manuseio rápido e instalações ponto a ponto,Utilização de diâmetros menores, se comparado a sistemas convencionais de instalações hidráulicas (PPR, CPVC e PVC),Instalação que permite fácil manutenção e redução de entulho já que não necessita de quebra de parede,Leveza que facilita tanto o transporte das bobinas assim como estocagem,Diminuição do desperdício durante instalação,Alta resistência química e à corrosão,Baixa perda calorífica,É compatível com vários métodos construtivos (drywall, alvenaria convencional e estrutural).","O Amanco PEX Monocamada atende instalações hidráulicas prediais de água quente e fria. O sistema utiliza bobinas de tubos em polietileno reticulado e conexões metálicas do tipo anel deslizantes (slide fi) com corpo constituído de latão, altamente resistente a ataques químicos.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/3415/medium_modulofechado.PNG,http://amanco.com.br/produtos/predial/agua-quente/amanco-pex/modulo-de-distribuicao-fechado-ed3a66ca-eb22-4341-beed-c5c4c6c1b8e5
Módulo de Distribuição Aberto,CCB: 98245 | Embalagem: 5 | Bitola: DN 22 x DN 15 2 saídas | CCB: 98246 | Embalagem: 5 | Bitola: DN 22 x DN 15 3 saídas | ,produtos|predial|agua-quente|amanco-flextemp|modulo-de-distribuicao-aberto,"Tubos em polibutileno e conexões por Push-Fit que garantem praticidade e rapidez na instalação de sistemas de condução de água quente e fria,Manutenção fácil e sem perda de tubos e conexões,Diâmetros e metragens de bobina: DN 15 com bobina de 100 m, DN 22 e DN 28 com bobina de 50 m,Atende a uma pressão de serviço 80 m.c.a,Temperatura máxima de trabalho: 70° C.","Economia,Qualidade Comprovada,Flexibilidade dos Tubos,Durabilidade,Segurança das Juntas.","A linha Amanco Flextemp é um sistema de tubulação flexivel com tecnologia inovadora desenvolvida para instalações prediais de água quente e fria sob pressão. A linha pode ser utilizada em instalações comerciais e residencias, com sistema de engate rápido tipo Push fit (click), o que garante a produtividade da instalação.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2871/medium_MODULO-DE-DISTRIBUICAO-ABERTO-98245-98246-WEB.jpg,http://amanco.com.br/produtos/predial/agua-quente/amanco-flextemp/modulo-de-distribuicao-aberto
Misturador Fêmea/Fêmea/Fêmea,"CCB: 14235 | Embalagem: 10 | Bitola: DN 20 x 1/2"" | CCB: 14236 | Embalagem: 10 | Bitola: DN 25 x 3/4"" | ",produtos|predial|agua-quente|amanco-ppr|misturador-f-f-f,"Sistema composto por tubos com comprimentos comerciais de 3 metros,Permitem a realização de instalações hidráulicas das mais variadas formas,Excelente resultado no tempo de aplicação. Junção por termofusão.","Suporta maiores temperaturas,Material atóxico,Livre de corrosão,Sem incrustações,Maior isolamento acústico,Resistência a impactos,Reciclável,Melhor custo-benefício,Maior produtividade,Não requer isolamento térmico,Garantia total das juntas,Limpeza da instalação,Otimização de projeto,Maior flxibilidade","Os tubos e conexões Amanco PPR são uma solução para condução de água quente e fria em instalações hidráulicas.São fabricados com um material inovador e de última geração, o Polipropileno Copolímero Random - tipo 3.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2783/medium_MISTURADOR-F-F-F-14235-14236-WEB.jpg,http://amanco.com.br/produtos/predial/agua-quente/amanco-ppr/misturador-f-f-f
Luva Simples Fêmea/Fêmea,CCB: 20279 | Embalagem: 10 | Bitola: DN 15 | CCB: 20280 | Embalagem: 10 | Bitola: DN 22 | CCB: 20281 | Embalagem: 10 | Bitola: DN 28 | CCB: 20282 | Embalagem: 10 | Bitola: DN 35 | CCB: 20283 | Embalagem: 10 | Bitola: DN 42 | CCB: 20284 | Embalagem: 10 | Bitola: DN 54 | CCB: 20285 | Embalagem: 5 | Bitola: DN 73 | CCB: 20286 | Embalagem: 2 | Bitola: DN 89 | CCB: 20287 | Embalagem: 2 | Bitola: DN 114 | ,produtos|predial|agua-quente|amanco-cpvc|luva-simples,"Cor: Bege,Diâmetros nominais:15,22,28,35,42,54,73,89 e 114."," ,Desempenho Elevado:, Melhor comportamento contra golpes de aríete (sobre pressão) e impactos., ,Material atóxico:, Proporciona maior segurança para os usuários., ,Livre de corrosão: ,Tem alta resistência química, proporcionando durabilidade. Elimina o risco de trocas e vazamentos devido a oxidação., ,Sem incrustações: ,Por ter paredes internas extremamente lisas e não conduzir energia elétrica, proporciona que ao longo do tempo a instalação fique sem incrustações e sem redução do diâmetro da tubulação., ,Mais Resistência: ,Suporta pressão de serviço de 8,6 Bar (86 mca) conduzindo agua a 82°C e de 30 Bar (300 mca) conduzindo agua a 20°C, ,Junta Simples:, A união de tubos e conexões é feito por junta soldável a frio com Adesivo Plástico CPVC.","Sistema composto de tubos e conexões fabricado com o composto FlowGuard®, que resulta em um produto final com resistência superior ao CPVC Convencional.,Indicado para instalações de água quente e fria sob pressão em edificações",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2816/medium_luva_simples_ultratemp_cpvc1.jpg,http://amanco.com.br/produtos/predial/agua-quente/amanco-cpvc/luva-simples
Luva de Transição Fêmea/Fêmea CPVC x PVC ,SCB: 20295 | Embalagem: 10 | Bitola: DN 15 x 20 | SCB: 20296 | Embalagem: 10 | Bitola: DN 22 x 25 | ,produtos|predial|agua-quente|amanco-cpvc|luva-de-transicao-cpvc-x-pvc-soldavel,"Cor: Bege,Diâmetros nominais:15,22,28,35,42,54,73,89 e 114.","
,Desempenho Elevado:, Melhor comportamento contra golpes de aríete (sobre pressão) e impactos., ,Material atóxico:, Proporciona maior segurança para os usuários., ,Livre de corrosão: ,Tem alta resistência química, proporcionando durabilidade. Elimina o risco de trocas e vazamentos devido a oxidação., ,Sem incrustações: ,Por ter paredes internas extremamente lisas e não conduzir energia elétrica, proporciona que ao longo do tempo a instalação fique sem incrustações e sem redução do diâmetro da tubulação., ,Mais Resistência: ,Suporta pressão de serviço de 8,6 Bar (86 mca) conduzindo agua a 82°C e de 30 Bar (300 mca) conduzindo agua a 20°C, ,Junta Simples:, A união de tubos e conexões é feito por junta soldável a frio com Adesivo Plástico CPVC.","Sistema composto de tubos e conexões fabricado com o composto FlowGuard®, que resulta em um produto final com resistência superior ao CPVC Convencional.,Indicado para instalações de água quente e fria sob pressão em edificações.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2818/medium_LUVA-DE-TRANSPOSICAO-CPVC-X-PVC-SOLDAVEL-SCB-18072-18073-WEB.jpg,http://amanco.com.br/produtos/predial/agua-quente/amanco-cpvc/luva-de-transicao-cpvc-x-pvc-soldavel
Luva de Redução Fêmea/Fêmea,CCB: 14582 | Embalagem: 10 | Bitola: DN 25 x 20 | CCB: 14583 | Embalagem: 10 | Bitola: DN 32 x 20 | CCB: 14584 | Embalagem: 10 | Bitola: DN 32 x 25 | ,produtos|predial|agua-quente|amanco-ppr|luva-de-reducao-f-f,"Sistema composto por tubos com comprimentos comerciais de 3 metros,Permitem a realização de instalações hidráulicas das mais variadas formas,Excelente resultado no tempo de aplicação. Junção por termofusão.","Suporta maiores temperaturas,Material atóxico,Livre de corrosão,Sem incrustações,Maior isolamento acústico,Resistência a impactos,Reciclável,Melhor custo-benefício,Maior produtividade,Não requer isolamento térmico,Garantia total das juntas,Limpeza da instalação,Otimização de projeto,Maior flxibilidade","Os tubos e conexões Amanco PPR são uma solução para condução de água quente e fria em instalações hidráulicas.São fabricados com um material inovador e de última geração, o Polipropileno Copolímero Random - tipo 3.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2782/medium_LUVA-DE-REDUCAO-F-F-14582-14583-14584-WEB.jpg,http://amanco.com.br/produtos/predial/agua-quente/amanco-ppr/luva-de-reducao-f-f
Misturador Fêmea/Macho/Macho,CCB: 14237 | Bitola: DN 20 | Embalagem: 10 | CCB: 14238 | Bitola: DN 25 | Embalagem: 10 | ,produtos|predial|agua-quente|amanco-ppr|misturador-f-m-m,"Sistema composto por tubos com comprimentos comerciais de 3 metros,Permitem a realização de instalações hidráulicas das mais variadas formas,Excelente resultado no tempo de aplicação. Junção por termofusão.","Suporta maiores temperaturas,Material atóxico,Livre de corrosão,Sem incrustações,Maior isolamento acústico,Resistência a impactos,Reciclável,Melhor custo-benefício,Maior produtividade,Não requer isolamento térmico,Garantia total das juntas,Limpeza da instalação,Otimização de projeto,Maior flxibilidade","Os tubos e conexões Amanco PPR são uma solução para condução de água quente e fria em instalações hidráulicas.São fabricados com um material inovador e de última geração, o Polipropileno Copolímero Random - tipo 3.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2784/medium_MISTURADOR-F-M-M-14237-14238-WEB.jpg,http://amanco.com.br/produtos/predial/agua-quente/amanco-ppr/misturador-f-m-m
Luva Simples Fêmea/Fêmea,CCB: 14572 | Embalagem: 2 | Bitola: DN 50 | CCB: 14200 | Embalagem: 10 | Bitola: DN 20 | CCB: 14201 | Embalagem: 10 | Bitola: DN 25 | CCB: 14202 | Embalagem: 10 | Bitola: DN 32 | CCB: 14571 | Embalagem: 5 | Bitola: DN 40 | CCB: 14573 | Embalagem: 1 | Bitola: DN 63 | CCB: 14574 | Embalagem: 1 | Bitola: DN 75 | CCB: 14575 | Embalagem: 1 | Bitola: DN 90 | CCB: 14576 | Embalagem: 1 | Bitola: DN 110 | ,produtos|predial|agua-quente|amanco-ppr|luva-simples-f-f,"Sistema composto por tubos com comprimentos comerciais de 3 metros,Permitem a realização de instalações hidráulicas das mais variadas formas,Excelente resultado no tempo de aplicação. Junção por termofusão.","Suporta maiores temperaturas,Material atóxico,Livre de corrosão,Sem incrustações,Maior isolamento acústico,Resistência a impactos,Reciclável,Melhor custo-benefício,Maior produtividade,Não requer isolamento térmico,Garantia total das juntas,Limpeza da instalação,Otimização de projeto,Maior flxibilidade","Os tubos e conexões Amanco PPR são uma solução para condução de água quente e fria em instalações hidráulicas.São fabricados com um material inovador e de última geração, o Polipropileno Copolímero Random - tipo 3.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2781/medium_LUVA-SIMPLES-F-F-14200-14201-14202-14571-14572-14573-14574-14575-14576-WEB.jpg,http://amanco.com.br/produtos/predial/agua-quente/amanco-ppr/luva-simples-f-f
Luva de Transição Fêmea/Fêmea,CCB: 20288 | Embalagem: 10 | Bitola: DN 15 x 1/2 | CCB: 20289 | Embalagem: 10 | Bitola: DN 22 x 1/2 | CCB: 20290 | Embalagem: 10 | Bitola: DN 22 x 3/4 | CCB: 20291 | Embalagem: 10 | Bitola: DN 28 x 1 | CCB: 20292 | Embalagem: 2 | Bitola: DN 35 x 1 1/4 | CCB: 20293 | Embalagem: 2 | Bitola: DN 42 x 1 1/2 | CCB: 20294 | Embalagem: 1 | Bitola: DN 54 x 2 | ,produtos|predial|agua-quente|amanco-cpvc|luva-de-transicao-cpvc-x-metal,"Cor: Bege,Diâmetros nominais:15,22,28,35,42,54,73,89 e 114.","
,Desempenho Elevado:, Melhor comportamento contra golpes de aríete (sobre pressão) e impactos., ,Material atóxico:, Proporciona maior segurança para os usuários., ,Livre de corrosão: ,Tem alta resistência química, proporcionando durabilidade. Elimina o risco de trocas e vazamentos devido a oxidação., ,Sem incrustações: ,Por ter paredes internas extremamente lisas e não conduzir energia elétrica, proporciona que ao longo do tempo a instalação fique sem incrustações e sem redução do diâmetro da tubulação., ,Mais Resistência: ,Suporta pressão de serviço de 8,6 Bar (86 mca) conduzindo agua a 82°C e de 30 Bar (300 mca) conduzindo agua a 20°C, ,Junta Simples:, A união de tubos e conexões é feito por junta soldável a frio com Adesivo Plástico CPVC.","Sistema composto de tubos e conexões fabricado com o composto FlowGuard®, que resulta em um produto final com resistência superior ao CPVC Convencional.,Indicado para instalações de água quente e fria sob pressão em edificações.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2817/medium_luva_transicao_ultratemp_cpvc.jpg,http://amanco.com.br/produtos/predial/agua-quente/amanco-cpvc/luva-de-transicao-cpvc-x-metal
Luva de Correr,CCB: 20274 | Embalagem: 10 | Bitola: DN 15 | CCB: 20275 | Embalagem: 10 | Bitola: DN 22 | CCB: 20276 | Embalagem: 10 | Bitola: DN 28 | CCB: 20277 | Embalagem: 5 | Bitola: DN 35 | CCB: 20278 | Embalagem: 5 | Bitola: DN 42 | ,produtos|predial|agua-quente|amanco-cpvc|luva-de-correr-3f67e935-2d44-4c30-a041-17a152e6aedf,"Cor: Bege,Diâmetros nominais:15,22,28,35,42,54,73,89 e 114."," ,Desempenho Elevado:, Melhor comportamento contra golpes de aríete (sobre pressão) e impactos., ,Material atóxico:, Proporciona maior segurança para os usuários., ,Livre de corrosão: ,Tem alta resistência química, proporcionando durabilidade. Elimina o risco de trocas e vazamentos devido a oxidação., ,Sem incrustações: ,Por ter paredes internas extremamente lisas e não conduzir energia elétrica, proporciona que ao longo do tempo a instalação fique sem incrustações e sem redução do diâmetro da tubulação., ,Mais Resistência: ,Suporta pressão de serviço de 8,6 Bar (86 mca) conduzindo agua a 82°C e de 30 Bar (300 mca) conduzindo agua a 20°C, ,Junta Simples:, A união de tubos e conexões é feito por junta soldável a frio com Adesivo Plástico CPVC.","Sistema composto de tubos e conexões fabricado com o composto FlowGuard®, que resulta em um produto final com resistência superior ao CPVC Convencional.,Indicado para instalações de água quente e fria sob pressão em edificações.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2815/medium_luva_correr_ultratemp_cpvc.jpg,http://amanco.com.br/produtos/predial/agua-quente/amanco-cpvc/luva-de-correr-3f67e935-2d44-4c30-a041-17a152e6aedf
Joelho Rosca Macho,CCB: 99338 | Embalagem: 1 | Bitola: DN 15 x 1/2 | CCB: 99339 | Embalagem: 1 | Bitola: DN 22 x 1/2 | CCB: 99340 | Embalagem: 1 | Bitola: DN 22 x 3/4 | ,produtos|predial|agua-quente|amanco-flextemp|joelho-rosca-macho,"Tubos em polibutileno e conexões por Push-Fit que garantem praticidade e rapidez na instalação de sistemas de condução de água quente e fria,Manutenção fácil e sem perda de tubos e conexões,Diâmetros e metragens de bobina: DN 15 com bobina de 100 m, DN 22 e DN 28 com bobina de 50 m,Atende a uma pressão de serviço 80 m.c.a,Temperatura máxima de trabalho: 70° C.","Economia,Qualidade Comprovada,Flexibilidade dos Tubos,Durabilidade,Segurança das Juntas.","A linha Amanco Flextemp é um sistema de tubulação flexivel com tecnologia inovadora desenvolvida para instalações prediais de água quente e fria sob pressão. A linha pode ser utilizada em instalações comerciais e residencias, com sistema de engate rápido tipo Push fit (click), o que garante a produtividade da instalação.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/3273/medium_JOELHO-ROSCA-MACHO-FLEXTEMP-99339-WEB.jpg,http://amanco.com.br/produtos/predial/agua-quente/amanco-flextemp/joelho-rosca-macho
Kit Testes de Montagem,CCB: 98257 | Embalagem: 1 | ,produtos|predial|agua-quente|amanco-flextemp|kit-testes-de-montagem,"Tubos em polibutileno e conexões por Push-Fit que garantem praticidade e rapidez na instalação de sistemas de condução de água quente e fria,Manutenção fácil e sem perda de tubos e conexões,Diâmetros e metragens de bobina: DN 15 com bobina de 100 m, DN 22 e DN 28 com bobina de 50 m,Atende a uma pressão de serviço 80 m.c.a,Temperatura máxima de trabalho: 70° C.","Economia,Qualidade Comprovada,Flexibilidade dos Tubos,Durabilidade,Segurança das Juntas.","A linha Amanco Flextemp é um sistema de tubulação flexivel com tecnologia inovadora desenvolvida para instalações prediais de água quente e fria sob pressão. A linha pode ser utilizada em instalações comerciais e residencias, com sistema de engate rápido tipo Push fit (click), o que garante a produtividade da instalação.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2888/medium_KIT-TESTES-DE-MONTAGEM-98257-WEB.jpg,http://amanco.com.br/produtos/predial/agua-quente/amanco-flextemp/kit-testes-de-montagem
Kit Ferramentas Montagem,CCB: 97560 | Embalagem: 1 | Bitola: DN 16 - 25 | ,produtos|predial|agua-quente|amanco-pex|kit-ferramentas-montagem,"Tubos nos diâmetros de DN 16, 20 e 25,Bobinas de 50 m (para 25 e 32 mm) e 100 m (para 16 e 20 mm),Conexões com roscas NBR NM ISO 7-1","Tubulação maleável: Os tubos Amanco PEX permitem que sejam feitas curvas, diminuindo a quantidade de conexões,Facilidade de instalação, pois permite manuseio rápido e instalações ponto a ponto,Utilização de diâmetros menores, se comparado a sistemas convencionais de instalações hidráulicas (PPR, CPVC e PVC),Instalação que permite fácil manutenção e redução de entulho  já que não necessita de quebra de parede,Leveza que facilita tanto o transporte das bobinas assim como estocagem,Diminuição do desperdício durante instalação,Alta resistência química e à corrosão,Baixa perda calorífica,É compatível com vários métodos construtivos (drywall, alvenaria convencional e estrutural).","O Amanco PEX Monocamada atende instalações hidráulicas prediais de água quente e fria. O sistema utiliza bobinas de tubos em polietileno reticulado e conexões metálicas do tipo anel deslizantes (slide fi) com corpo constituído de latão, altamente resistente a ataques químicos.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2851/medium_KIT-FERRAMENTAS-MONTAGEM-CCB-97560-98713-WEB.jpg,http://amanco.com.br/produtos/predial/agua-quente/amanco-pex/kit-ferramentas-montagem
Joelho Fêmea Terminal Metálico,"CCB: 98223 | Embalagem: 5 | Bitola: DN 15 x 1/2"" | Outros: Longo | CCB: 98222 | Embalagem: 5 | Bitola: DN 15 x 1/2"" | Outros: 98224 | CCB: 5 | Embalagem: DN 22 x 1/2"" | Bitola: 98225 | Outros: 5 | ",produtos|predial|agua-quente|amanco-flextemp|joelho-f-terminal-metalico-cod-98222,"Tubos em polibutileno e conexões por Push-Fit que garantem praticidade e rapidez na instalação de sistemas de condução de água quente e fria,Manutenção fácil e sem perda de tubos e conexões,Diâmetros e metragens de bobina: DN 15 com bobina de 100 m, DN 22 e DN 28 com bobina de 50 m,Atende a uma pressão de serviço 80 m.c.a,Temperatura máxima de trabalho: 70° C.","Economia,Qualidade Comprovada,Flexibilidade dos Tubos,Durabilidade,Segurança das Juntas.","A linha Amanco Flextemp é um sistema de tubulação flexivel com tecnologia inovadora desenvolvida para instalações prediais de água quente e fria sob pressão. A linha pode ser utilizada em instalações comerciais e residencias, com sistema de engate rápido tipo Push fit (click), o que garante a produtividade da instalação.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2870/medium_JOELHO-F-TERMINAL-METALICO-98222-98224-98225-WEB.jpg,http://amanco.com.br/produtos/predial/agua-quente/amanco-flextemp/joelho-f-terminal-metalico-cod-98222
Joelho Fêmea Universal ,CCB: 98768 | Embalagem: 5 | Bitola: DN 15 x 1/2 | ,produtos|predial|agua-quente|amanco-flextemp|joelho-femea-universal,"Tubos em polibutileno e conexões por Push-Fit que garantem praticidade e rapidez na instalação de sistemas de condução de água quente e fria,Manutenção fácil e sem perda de tubos e conexões,Diâmetros e metragens de bobina: DN 15 com bobina de 100 m, DN 22 e DN 28 com bobina de 50 m,Atende a uma pressão de serviço 80 m.c.a,Temperatura máxima de trabalho: 70° C.","Economia,Qualidade Comprovada,Flexibilidade dos Tubos,Durabilidade,Segurança das Juntas.","A linha Amanco Flextemp é um sistema de tubulação flexivel com tecnologia inovadora desenvolvida para instalações prediais de água quente e fria sob pressão. A linha pode ser utilizada em instalações comerciais e residencias, com sistema de engate rápido tipo Push fit (click), o que garante a produtividade da instalação.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/3272/medium_JOELHO-FEMEA-UNIVERSAL-TERMINAL-METALICO-FLEXTEMP-98768-WEB.jpg,http://amanco.com.br/produtos/predial/agua-quente/amanco-flextemp/joelho-femea-universal
Joelho Metálico,SCB: 97456 | Embalagem: 10 | Bitola: DN 16 | SCB: 97457 | Embalagem: 10 | Bitola: DN 20 | SCB: 97458 | Embalagem: 10 | Bitola: DN 25 | SCB: 97459 | Embalagem: 10 | Bitola: DN 32 | ,produtos|predial|agua-quente|amanco-pex|joelho-metalico,"Tubos nos diâmetros de DN 16, 20, 25 e 32 mm,Bobinas de 50 m (para 25 e 32 mm) e 100 m (para 16 e 20 mm),Conexões com roscas NBR NM ISO 7-1","Tubulação maleável: Os tubos Amanco PEX permitem que sejam feitas curvas, diminuindo a quantidade de conexões,Facilidade de instalação, pois permite manuseio rápido e instalações ponto a ponto,Utilização de diâmetros menores, se comparado a sistemas convencionais de instalações hidráulicas (PPR, CPVC e PVC),Instalação que permite fácil manutenção e redução de entulho  já que não necessita de quebra de parede,Leveza que facilita tanto o transporte das bobinas assim como estocagem,Diminuição do desperdício durante instalação,Alta resistência química e à corrosão,Baixa perda calorífica,É compatível com vários métodos construtivos (drywall, alvenaria convencional e estrutural).","O Amanco PEX Monocamada atende instalações hidráulicas prediais de água quente e fria. O sistema utiliza bobinas de tubos em polietileno reticulado e conexões metálicas do tipo anel deslizantes (slide fi) com corpo constituído de latão, altamente resistente a ataques químicos.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2839/medium_JOELHO-METALICO-SCB-97456-97457-97458-97459-WEB.jpg,http://amanco.com.br/produtos/predial/agua-quente/amanco-pex/joelho-metalico
